2022-11-10 05:26:11.883 [http-bio-8080-exec-1] ERROR ConnectionManager() - connect to 127.0.0.1:20200 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20200
, cause: 拒绝连接: /127.0.0.1:20200
2022-11-10 05:26:11.885 [http-bio-8080-exec-1] ERROR ConnectionManager() - connect to 127.0.0.1:20201 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20201
, cause: 拒绝连接: /127.0.0.1:20201
2022-11-10 05:26:11.886 [http-bio-8080-exec-1] ERROR ConnectionManager() -  all connections have failed, [{"code":2, "msg":"connect to 127.0.0.1:20200 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20200
"}, {"code":2, "msg":"connect to 127.0.0.1:20201 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20201
"}] 
2022-11-10 05:26:11.886 [http-bio-8080-exec-1] WARN  NetworkImp() - <==== connect nodes failed, reason:
Failed to connect to all the nodes!
* connect to 127.0.0.1:20200 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20200

* connect to 127.0.0.1:20201 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20201


2022-11-10 05:26:13.918 [http-bio-8080-exec-1] ERROR ChannelImp() - ====> init channel network error, org.fisco.bcos.sdk.network.NetworkException: 
* TRACE INFORMATION:
----------------------------
====> STEP1: try to connect nodes with ecdsa context...
<==== STEP1-1: Load certificates for ecdsa context success...
<==== connect nodes failed, reason:
Failed to connect to all the nodes!
* connect to 127.0.0.1:20200 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20200

* connect to 127.0.0.1:20201 failed! Please make sure the nodes have been started, and the network between the SDK and the nodes are connected normally.reason: 拒绝连接: /127.0.0.1:20201


 
2022-11-10 05:26:13.919 [http-bio-8080-exec-1] WARN  ChannelImp() - The channel has already been stopped!
2022-11-10 05:27:16.641 [nioEventLoopGroup-2-1] ERROR ChannelHandler() -  handshake failed, host: 127.0.0.1, port: 20200, reason: General OpenSslEngine problem, error stack: javax.net.ssl.SSLHandshakeException: General OpenSslEngine problem 
2022-11-10 05:27:16.641 [nioEventLoopGroup-2-2] ERROR ChannelHandler() -  handshake failed, host: 127.0.0.1, port: 20201, reason: General OpenSslEngine problem, error stack: javax.net.ssl.SSLHandshakeException: General OpenSslEngine problem 
2022-11-10 05:27:16.642 [http-bio-8080-exec-1] ERROR ConnectionManager() - ssl handshake failed:/127.0.0.1:20200
 reason: General OpenSslEngine problem. Please make sure the certificate are correctly configured and copied.
2022-11-10 05:27:16.643 [http-bio-8080-exec-1] ERROR ConnectionManager() - ssl handshake failed:/127.0.0.1:20201
 reason: General OpenSslEngine problem. Please make sure the certificate are correctly configured and copied.
